,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencyGlobal,qval
AL157778.1,D1,0.269681742043551,0.019404915912031,0.128467153284672,1.07489953187517e-43
HOXD4,D1,0.395309882747069,0.133247089262613,0.247445255474453,1.9331742827006e-26
TMEM25,D1,0.38358458961474,0.129366106080207,0.24014598540146,2.29843074360277e-25
SPA17,D1,0.763819095477387,0.276843467011643,0.489051094890511,2.89249254907136e-71
ZNF433-AS1,D1,0.246231155778894,0.00258732212160414,0.108759124087591,3.23013529883736e-52
DHRS3,D1,0.581239530988275,0.248382923673997,0.393430656934307,1.29901885557316e-33
MAML2,D1,0.467336683417085,0.196636481241915,0.314598540145985,2.66623199695572e-24
NR3C1,D1,0.33500837520938,0.0970245795601552,0.200729927007299,2.29843074360277e-25
ZBTB44,D1,0.793969849246231,0.289780077619664,0.509489051094891,5.23830102429153e-77
NAPRT,D1,0.278056951423786,0.0439844760672704,0.145985401459854,1.23858127610653e-32
LY6E,D2,0.403622250970246,0,0.227737226277372,4.66481729761276e-89
MINCR,D2,0.389391979301423,0.0268006700167504,0.231386861313869,5.79204749817651e-63
MXRA8,D2,0.426908150064683,0.0619765494137353,0.267883211678832,2.16595515069166e-54
ARMCX1,D2,0.542043984476067,0.120603015075377,0.358394160583942,3.4177487821875e-59
HSPA1B,D2,0.369987063389392,0.0351758793969849,0.224087591240876,8.01405241490458e-54
PRELID3B,D2,0.517464424320828,0.169179229480737,0.365693430656934,6.50622691251558e-39
CNTNAP2,D2,0.371280724450194,0.0954773869346734,0.251094890510949,6.19973963909784e-31
FST,D2,0.441138421733506,0.150753768844221,0.314598540145985,4.31834860161353e-29
CCDC160,D2,0.604139715394567,0.214405360134003,0.434306569343066,2.0304924966314e-45
TMEM14A,D2,0.584734799482536,0.214405360134003,0.423357664233577,3.11167034517071e-41
PCSK1N,D2,0.478654592496766,0.184254606365159,0.35036496350365,4.88027792059196e-28
HLA-DMA,D2,0.274256144890039,0.0150753768844221,0.161313868613139,2.24298112449749e-43
CCS,D2,0.597671410090556,0.231155778894472,0.437956204379562,6.35171396983659e-40
PLP1,D2,0.460543337645537,0.190954773869347,0.343065693430657,1.05458571425338e-23
IDS,D2,0.534282018111255,0.222780569514238,0.398540145985401,1.66282186351457e-29
ZIC3,D2,0.483829236739974,0.206030150753769,0.362773722627737,1.92736529314532e-24
UPK3BL1,D2,0.393272962483829,0.157453936348409,0.290510948905109,6.1693510598217e-20
HPRT1,D2,0.416558861578266,0.177554438860972,0.312408759124088,1.48702598218642e-19
ALG13,D2,0.423027166882277,0.182579564489112,0.318248175182482,1.44528629636057e-19
RTL8B,D2,0.45019404915912,0.202680067001675,0.342335766423358,6.78972965480618e-20
ARMCX6,D2,0.59379042690815,0.249581239530988,0.443795620437956,5.56455157535863e-35
MT1X,D2,0.454075032341527,0.206030150753769,0.345985401459854,7.17357407820853e-20
TCEAL3,D2,0.503234152652005,0.231155778894472,0.384671532846715,8.55997481191058e-23
FGF13,D2,0.532988357050453,0.246231155778894,0.408029197080292,1.06479751711546e-24
ARMCX2,D2,0.514877102199224,0.241206030150754,0.395620437956204,8.55997481191058e-23
SPATC1L,D2,0.424320827943079,0.195979899497487,0.324817518248175,2.13906315848113e-17
TCEAL2,D2,0.358344113842173,0.144053601340034,0.264963503649635,1.80662570071853e-17
ZDHHC9,D2,0.354463130659767,0.142378559463987,0.262043795620438,3.0503107422774e-17
CASC9,D2,0.323415265200517,0.110552763819095,0.230656934306569,3.40987668233836e-19
UTP14A,D2,0.403622250970246,0.187604690117253,0.30948905109489,5.06837010118244e-16
GLA,D2,0.45019404915912,0.219430485762144,0.34963503649635,4.56029167853083e-17
DCX,D2,0.359637774902975,0.152428810720268,0.269343065693431,3.95652363498163e-16
FAM199X,D2,0.573091849935317,0.266331658291457,0.439416058394161,1.1474597588671e-27
PAK3,D2,0.417852522639069,0.202680067001675,0.324087591240876,1.84621349448222e-15
CMC4,D2,0.39974126778784,0.1892797319933,0.308029197080292,3.08871707360089e-15
BRCC3,D2,0.432082794307891,0.214405360134003,0.337226277372263,1.78974799477826e-15
BEX2,D2,0.530401034928849,0.261306532663317,0.413138686131387,1.20338716034384e-21
MOSPD1,D2,0.389391979301423,0.184254606365159,0.3,1.00777560506369e-14
G6PD,D2,0.357050452781371,0.155778894472362,0.269343065693431,3.32572922154495e-15
VAMP7,D2,0.355756791720569,0.155778894472362,0.268613138686131,4.83414294223696e-15
GALNT2,D2,0.459249676584735,0.234505862646566,0.361313868613139,6.25482299598365e-16
TSC22D3,D2,0.382923673997413,0.182579564489112,0.295620437956204,3.57636782218055e-14
FSIP2,D2,0.278137128072445,0.0686767169179229,0.186861313868613,2.28354013706531e-22
EPHA4,D2,0.357050452781371,0.160804020100503,0.271532846715328,2.18507798387376e-14
TAZ,D2,0.454075032341527,0.23785594639866,0.35985401459854,8.90005270585195e-15
CITED4,D2,0.410090556274256,0.209380234505863,0.322627737226277,1.76887044494149e-13
EFNB3,D2,0.416558861578266,0.214405360134003,0.328467153284672,1.55755759460161e-13
LSAMP,D2,0.367399741267788,0.174204355108878,0.283211678832117,1.58147656952092e-13
MORC4,D2,0.373868046571798,0.180904522613065,0.28978102189781,2.65558848518923e-13
MGMT,D2,0.391979301423027,0.197654941373534,0.307299270072993,5.32696864080962e-13
