,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencyGlobal,qval
ZNF667-AS1,D1,0.556113902847571,0.00258732212160414,0.243795620437956,4.22242537683305e-143
IRX2,D1,0.505862646566164,0,0.22043795620438,1.20635142485117e-130
HLTF,D1,0.633165829145729,0.0530401034928849,0.305839416058394,3.93542211276053e-124
HOXB8,D1,0.507537688442211,0.0232858990944373,0.234306569343066,4.90954805470063e-105
HOXB6,D1,0.49748743718593,0.0206985769728331,0.228467153284672,3.40824313194211e-104
HOXB5,D1,0.688442211055276,0.091849935316947,0.351824817518248,4.67859815732062e-120
IFITM3,D1,0.576214405360134,0.0659767141009056,0.288321167883212,2.09917885732893e-97
AC012645.1,D1,0.477386934673367,0.0349288486416559,0.227737226277372,3.22255785480025e-87
CHCHD2,D1,0.407035175879397,0,0.177372262773723,5.08175468881486e-100
AC023794.3,D1,0.609715242881072,0.107373868046572,0.326277372262774,2.12453734734773e-86
PTGR1,D1,0.69179229480737,0.133247089262613,0.376642335766423,1.68911024347277e-100
ZNF680,D1,0.368509212730318,0.00129366106080207,0.161313868613139,1.20779867960633e-86
REC8,D1,0.371859296482412,0.0116429495472186,0.168613138686131,7.53897093143013e-76
HOXA5,D1,0.661641541038526,0.14359637774903,0.369343065693431,2.12453734734773e-86
AC069277.1,D1,0.373534338358459,0.018111254851229,0.172992700729927,8.46260380262519e-71
LAMP5,D1,0.525963149078727,0.107373868046572,0.28978102189781,3.47720125739935e-63
FRZB,D1,0.537688442211055,0.113842173350582,0.298540145985401,1.34973268416796e-63
ZNF677,D1,0.353433835845896,0.00905562742561449,0.159124087591241,2.60928209004752e-73
RPS4Y1,D1,0.341708542713568,0.00258732212160414,0.15036496350365,2.6323069988826e-77
HOXB-AS3,D1,0.361809045226131,0.019404915912031,0.168613138686131,1.0959187802352e-66
BCO2,D1,0.437185929648241,0.0789133247089263,0.235036496350365,5.20850570357018e-53
SLITRK2,D1,0.321608040201005,0,0.14014598540146,9.50211265740231e-76
NRGN,D1,0.408710217755444,0.0620957309184994,0.213138686131387,1.19870617515911e-53
HOXC5,D1,0.480737018425461,0.113842173350582,0.273722627737226,1.05707437330716e-49
POU3F4,D1,0.301507537688442,0,0.131386861313869,2.48996800542394e-70
HOXA4,D1,0.581239530988275,0.170763260025873,0.34963503649635,2.50579733179961e-54
MSANTD2,D1,0.515912897822446,0.151358344113842,0.31021897810219,3.06347493980384e-45
NFRKB,D1,0.440536013400335,0.109961190168176,0.254014598540146,4.2775532636833e-42
ARHGAP32,D1,0.509212730318258,0.155239327296248,0.30948905109489,1.24269862941447e-42
HOXD3,D1,0.412060301507538,0.0983182406209573,0.235036496350365,5.48908278103118e-40
ZNF138,D1,0.415410385259631,0.107373868046572,0.241605839416058,1.08903351778514e-37
TSHZ1,D1,0.5678391959799,0.197930142302717,0.359124087591241,3.00163687225669e-43
ZADH2,D1,0.626465661641541,0.217335058214748,0.395620437956204,2.62544596610749e-51
GFRA1,D1,0.564489112227806,0.206985769728331,0.362773722627737,3.87252714990869e-40
WNT5A,D1,0.551088777219431,0.203104786545925,0.354744525547445,2.39749933286832e-38
DPP7,D1,0.298157453936348,0.0336351875808538,0.148905109489051,5.98280418380614e-42
HOXB7,D1,0.28643216080402,0.0245795601552393,0.138686131386861,2.36601758217059e-44
AC103702.1,D1,0.301507537688442,0.0426908150064683,0.155474452554745,3.38855938560705e-38
C5orf38,D1,0.254606365159129,0,0.110948905109489,5.50809138138813e-58
HOXA-AS2,D1,0.500837520938023,0.19404915912031,0.327737226277372,8.85559112888962e-31
